prediction,ground_truth,diff_ops,error_ngrams
sobold Nacl in dref Flauhme geharltent wirgpt .,sobald NaCl in die Flamme gehalten wird.,"[('replace', 3, 4, 3, 4), ('replace', 9, 10, 9, 10), ('replace', 16, 17, 16, 17), ('delete', 18, 19, 18, 18), ('replace', 23, 25, 22, 23), ('delete', 32, 33, 30, 30), ('delete', 37, 38, 34, 34), ('replace', 42, 46, 38, 39)]","[(('ba', 'neutral'), 1), (('al', 'neutral'), 1), (('di', 'neutral'), 1), (('ie', 'german-dominant'), 1), (('mm', 'neutral'), 1), (('me', 'neutral'), 1), (('te', 'neutral'), 1), (('en', 'german-dominant'), 1), (('ir', 'neutral'), 1), (('rd', 'neutral'), 1)]"
Mediaiste   U I M- tatban -bealt,Medizinische IT-Ausbau fehlt,"[('replace', 4, 5, 4, 7), ('replace', 7, 8, 9, 11), ('delete', 10, 14, 13, 13), ('replace', 15, 17, 14, 15), ('replace', 18, 22, 16, 19), ('replace', 24, 25, 21, 22), ('replace', 26, 28, 23, 24), ('replace', 29, 30, 25, 26)]","[(('iz', 'neutral'), 1), (('zi', 'german-dominant'), 1), (('ni', 'neutral'), 1), (('is', 'neutral'), 1), (('ch', 'german-dominant'), 1), (('he', 'neutral'), 1), (('us', 'neutral'), 1), (('sb', 'neutral'), 1), (('ba', 'neutral'), 1), (('au', 'german-dominant'), 1), (('fe', 'neutral'), 1), (('eh', 'neutral'), 1), (('hl', 'german-dominant'), 1), (('lt', 'neutral'), 1)]"
 ft wetedisfbit agebrint wadent,und wie sehr die Arbeiter ausgebeutet werden,"[('insert', 0, 0, 0, 3), ('replace', 1, 2, 4, 36), ('delete', 6, 20, 40, 40), ('delete', 21, 27, 41, 41), ('delete', 30, 31, 44, 44)]","[(('un', 'german-dominant'), 1), (('nd', 'neutral'), 1), (('ie', 'german-dominant'), 2), (('se', 'neutral'), 1), (('eh', 'neutral'), 1), (('hr', 'german-dominant'), 1), (('di', 'neutral'), 1), (('rb', 'german-dominant'), 1), (('be', 'neutral'), 1), (('ei', 'german-dominant'), 1), (('it', 'neutral'), 1), (('te', 'neutral'), 1), (('er', 'neutral'), 1), (('au', 'german-dominant'), 1), (('ge', 'german-dominant'), 1), (('eb', 'neutral'), 1)]"
 Betrodntwng ous Sicht der Anwender,Betrachtung aus Sicht der Anwender,"[('delete', 0, 1, 0, 0), ('replace', 5, 8, 4, 7), ('replace', 9, 10, 8, 9), ('replace', 13, 14, 12, 13)]","[(('ac', 'neutral'), 1), (('ch', 'german-dominant'), 1), (('ht', 'neutral'), 1), (('tu', 'neutral'), 1), (('un', 'german-dominant'), 1), (('ng', 'neutral'), 1), (('au', 'german-dominant'), 1), (('us', 'neutral'), 1)]"
- Durch die Loventekraft drentsich der Clektromator,- Durch die Lorentzkraft dreht sich der Elektromotor,"[('replace', 14, 15, 14, 15), ('replace', 18, 19, 18, 19), ('replace', 28, 29, 28, 29), ('insert', 30, 30, 30, 31), ('replace', 39, 40, 40, 41), ('replace', 47, 48, 48, 49)]","[(('or', 'neutral'), 1), (('re', 'neutral'), 1), (('tz', 'german-dominant'), 1), (('zk', 'german-dominant'), 1), (('eh', 'neutral'), 1), (('ht', 'neutral'), 1), (('om', 'neutral'), 1), (('mo', 'neutral'), 1)]"
I fhice diamuedialand ebrent reoubte tis,dass dies nur ein Drama ist. Brecht versucht,"[('replace', 0, 7, 0, 4), ('insert', 10, 10, 7, 20), ('replace', 12, 15, 22, 24), ('replace', 16, 21, 25, 28), ('replace', 22, 24, 29, 30), ('replace', 26, 27, 32, 34), ('insert', 29, 29, 36, 38), ('replace', 30, 32, 39, 40), ('replace', 33, 34, 41, 43), ('delete', 35, 40, 44, 44)]","[(('da', 'neutral'), 1), (('as', 'neutral'), 1), (('ss', 'neutral'), 1), (('di', 'neutral'), 1), (('ie', 'german-dominant'), 1), (('ur', 'neutral'), 1), (('ei', 'german-dominant'), 1), (('in', 'neutral'), 1), (('ra', 'neutral'), 1), (('am', 'neutral'), 1), (('ma', 'neutral'), 1), (('st', 'neutral'), 1), (('re', 'neutral'), 1), (('ec', 'english-dominant'), 1), (('ch', 'german-dominant'), 1), (('ht', 'neutral'), 1), (('ve', 'neutral'), 1), (('er', 'neutral'), 1), (('rs', 'neutral'), 1), (('su', 'neutral'), 1)]"
any Werkseeltyn in. .no,eines Wertes erstellt.,"[('replace', 0, 1, 0, 2), ('replace', 2, 3, 3, 5), ('replace', 7, 8, 9, 11), ('insert', 9, 9, 12, 13), ('insert', 10, 10, 14, 17), ('insert', 12, 12, 19, 20), ('delete', 13, 18, 21, 21), ('delete', 19, 23, 22, 22)]","[(('ei', 'german-dominant'), 1), (('in', 'neutral'), 1), (('ne', 'neutral'), 1), (('er', 'neutral'), 2), (('rt', 'neutral'), 1), (('te', 'neutral'), 2), (('rs', 'neutral'), 1), (('st', 'neutral'), 1), (('el', 'neutral'), 1), (('ll', 'neutral'), 1), (('lt', 'neutral'), 1)]"
be batel tesk   MlDy,Die Wunder Jesu 11.1.2024,"[('replace', 0, 1, 0, 2), ('replace', 3, 6, 4, 8), ('replace', 7, 8, 9, 10), ('replace', 9, 10, 11, 12), ('replace', 12, 13, 14, 15), ('replace', 14, 20, 16, 25)]","[(('un', 'german-dominant'), 1), (('nd', 'neutral'), 1), (('de', 'german-dominant'), 1), (('er', 'neutral'), 1), (('es', 'neutral'), 1), (('su', 'neutral'), 1)]"
Dota Mining,Data Mining,"[('replace', 1, 2, 1, 2)]","[(('at', 'neutral'), 1)]"
"Clangritarboitslose brauchen intensiveste , indivduelle Betranng and zielgerichtot .","- Langzeitarbeitslose brauchen intensivierte, individuelle Betreuung und zielgerichtete","[('replace', 0, 2, 0, 3), ('replace', 5, 6, 6, 8), ('replace', 11, 12, 13, 14), ('insert', 37, 37, 39, 40), ('replace', 38, 39, 41, 42), ('delete', 41, 42, 44, 44), ('insert', 49, 49, 51, 52), ('replace', 60, 62, 63, 66), ('replace', 65, 66, 69, 70), ('replace', 80, 81, 84, 85), ('replace', 82, 84, 86, 87)]","[(('ng', 'neutral'), 1), (('gz', 'german-dominant'), 1), (('ar', 'neutral'), 1), (('rb', 'german-dominant'), 1), (('si', 'neutral'), 1), (('iv', 'neutral'), 1), (('vi', 'neutral'), 1), (('er', 'neutral'), 1), (('rt', 'neutral'), 1), (('di', 'neutral'), 1), (('et', 'neutral'), 1), (('tr', 'neutral'), 1), (('uu', 'neutral'), 1), (('un', 'german-dominant'), 1), (('ri', 'neutral'), 1), (('ic', 'neutral'), 1), (('ch', 'german-dominant'), 1), (('ht', 'neutral'), 1), (('te', 'neutral'), 1)]"
 the enters igte diblucials bidmn t,die andere ist die Solidarische bei denen,"[('insert', 0, 0, 0, 3), ('insert', 1, 1, 4, 13), ('insert', 2, 2, 14, 29), ('insert', 5, 5, 32, 37), ('delete', 7, 8, 39, 39), ('delete', 9, 32, 40, 40), ('delete', 33, 35, 41, 41)]","[(('di', 'neutral'), 2), (('ie', 'german-dominant'), 2), (('an', 'neutral'), 1), (('de', 'german-dominant'), 1), (('er', 'neutral'), 1), (('re', 'neutral'), 1), (('is', 'neutral'), 2), (('st', 'neutral'), 1), (('ol', 'neutral'), 1), (('li', 'neutral'), 1), (('id', 'neutral'), 1), (('da', 'neutral'), 1), (('ar', 'neutral'), 1), (('ri', 'neutral'), 1), (('sc', 'german-dominant'), 1), (('ch', 'german-dominant'), 1), (('he', 'neutral'), 1), (('be', 'neutral'), 1), (('ei', 'german-dominant'), 1)]"
 Hyprperisioa des latiniatea enpborme t,Gegenposition der Nativisten : angeborene,"[('replace', 0, 3, 0, 5), ('replace', 4, 9, 6, 7), ('insert', 11, 11, 9, 11), ('replace', 12, 13, 12, 13), ('replace', 16, 17, 16, 17), ('replace', 18, 19, 18, 19), ('replace', 22, 23, 22, 23), ('replace', 24, 25, 24, 25), ('insert', 27, 27, 27, 31), ('replace', 28, 29, 32, 34), ('delete', 30, 32, 35, 35), ('delete', 35, 36, 38, 38), ('replace', 37, 39, 39, 41)]","[(('eg', 'neutral'), 1), (('ge', 'german-dominant'), 1), (('en', 'german-dominant'), 3), (('np', 'neutral'), 1), (('po', 'neutral'), 1), (('os', 'neutral'), 1), (('si', 'neutral'), 1), (('it', 'neutral'), 1), (('io', 'neutral'), 1), (('on', 'neutral'), 1), (('er', 'neutral'), 1), (('iv', 'neutral'), 1), (('vi', 'neutral'), 1), (('is', 'neutral'), 1), (('st', 'neutral'), 1), (('an', 'neutral'), 1), (('eb', 'neutral'), 1), (('bo', 'english-dominant'), 1), (('or', 'neutral'), 1), (('re', 'neutral'), 1)]"
Irissunsebfliche Ruseiaedesetiony prartirchedadren t,wissenschaftliche Auseinandersetzung politischer Individuen,"[('replace', 0, 2, 0, 1), ('replace', 5, 6, 4, 5), ('replace', 8, 10, 7, 10), ('insert', 11, 11, 11, 12), ('replace', 17, 18, 18, 19), ('insert', 22, 22, 23, 24), ('replace', 23, 24, 25, 26), ('insert', 26, 26, 28, 29), ('replace', 29, 31, 32, 34), ('replace', 32, 33, 35, 36), ('replace', 35, 38, 38, 41), ('replace', 40, 41, 43, 44), ('insert', 44, 44, 47, 51), ('replace', 45, 46, 52, 55), ('replace', 47, 48, 56, 57), ('delete', 50, 52, 59, 59)]","[(('wi', 'neutral'), 1), (('is', 'neutral'), 1), (('en', 'german-dominant'), 1), (('ns', 'neutral'), 1), (('ch', 'german-dominant'), 2), (('ha', 'neutral'), 1), (('af', 'neutral'), 1), (('ft', 'neutral'), 1), (('ei', 'german-dominant'), 1), (('in', 'neutral'), 1), (('na', 'neutral'), 1), (('nd', 'neutral'), 2), (('rs', 'neutral'), 1), (('se', 'neutral'), 1), (('et', 'neutral'), 1), (('tz', 'german-dominant'), 1), (('zu', 'german-dominant'), 1), (('ng', 'neutral'), 1), (('po', 'neutral'), 1), (('li', 'neutral'), 1), (('it', 'neutral'), 1), (('sc', 'german-dominant'), 1), (('he', 'neutral'), 1), (('er', 'neutral'), 1), (('di', 'neutral'), 1)]"
LWESdGeeT EDTMETnT,- Semaphor gibt an wie viele Threds arbeiten,"[('replace', 0, 3, 0, 2), ('insert', 4, 4, 3, 33), ('replace', 5, 6, 34, 39), ('insert', 7, 7, 40, 42), ('delete', 8, 16, 43, 43), ('delete', 17, 18, 44, 44)]","[(('em', 'neutral'), 1), (('ma', 'neutral'), 1), (('ap', 'english-dominant'), 1), (('ph', 'neutral'), 1), (('ho', 'english-dominant'), 1), (('or', 'neutral'), 1), (('gi', 'neutral'), 1), (('ib', 'neutral'), 1), (('bt', 'german-dominant'), 1), (('an', 'neutral'), 1)]"
Testtroden,Testmethoden,"[('insert', 4, 4, 4, 6), ('replace', 5, 6, 7, 8)]","[(('tm', 'neutral'), 1), (('me', 'neutral'), 1), (('et', 'neutral'), 1)]"
En Dut ersment .,Ein Duft erinnert.,"[('insert', 1, 1, 1, 2), ('insert', 5, 5, 6, 7), ('replace', 9, 11, 11, 14), ('replace', 12, 13, 15, 16), ('delete', 14, 15, 17, 17)]","[(('er', 'neutral'), 2), (('ri', 'neutral'), 1), (('in', 'neutral'), 1), (('nn', 'german-dominant'), 1), (('ne', 'neutral'), 1)]"
"- nicht frealich vertartett , lampler and anspidable . Vertarthlngen","- nicht friedlich verhandelt, komplex und anspruchsvolle Verhandlungen","[('insert', 10, 10, 10, 11), ('replace', 11, 12, 12, 13), ('insert', 20, 20, 21, 27), ('delete', 21, 28, 28, 28), ('replace', 30, 32, 30, 32), ('replace', 36, 37, 36, 37), ('replace', 38, 39, 38, 39), ('replace', 46, 50, 46, 54), ('delete', 52, 54, 56, 56), ('replace', 58, 59, 60, 61), ('replace', 60, 63, 62, 64), ('insert', 64, 64, 65, 66)]","[(('ri', 'neutral'), 1), (('ie', 'german-dominant'), 1), (('ed', 'neutral'), 1), (('er', 'neutral'), 2), (('rh', 'neutral'), 2), (('ha', 'neutral'), 2), (('an', 'neutral'), 2), (('nd', 'neutral'), 2), (('de', 'german-dominant'), 1), (('el', 'neutral'), 1), (('lt', 'neutral'), 1), (('ko', 'german-dominant'), 1), (('om', 'neutral'), 1), (('ex', 'neutral'), 1), (('un', 'german-dominant'), 1), (('pr', 'neutral'), 1), (('ru', 'german-dominant'), 1), (('uc', 'neutral'), 1), (('ch', 'german-dominant'), 1), (('hs', 'neutral'), 1), (('vo', 'german-dominant'), 1), (('ol', 'neutral'), 1), (('ll', 'neutral'), 1), (('dl', 'neutral'), 1)]"
In Sytbetishen Evelatienatheecie,1. Synthetische Evolitionstheorie,"[('replace', 0, 2, 0, 2), ('insert', 5, 5, 5, 6), ('replace', 6, 7, 7, 8), ('insert', 11, 11, 12, 13), ('delete', 13, 14, 15, 15), ('replace', 17, 18, 18, 19), ('replace', 19, 20, 20, 21), ('replace', 22, 23, 23, 24), ('replace', 24, 25, 25, 26), ('replace', 28, 30, 29, 31)]","[(('yn', 'neutral'), 1), (('nt', 'neutral'), 1), (('th', 'english-dominant'), 1), (('is', 'neutral'), 1), (('ch', 'german-dominant'), 1), (('he', 'neutral'), 2), (('vo', 'german-dominant'), 1), (('ol', 'neutral'), 1), (('li', 'neutral'), 1), (('ti', 'neutral'), 1), (('io', 'neutral'), 1), (('on', 'neutral'), 1), (('ns', 'neutral'), 1), (('eo', 'english-dominant'), 1), (('or', 'neutral'), 1)]"
"- in der ' 'ML beginen Alributnamen , generell mit einem Kleinbaudstaben",in der UML beginnen Attributnamen generell mit einem Kleinbuchstaben,"[('delete', 0, 2, 0, 0), ('replace', 9, 12, 7, 8), ('insert', 20, 20, 16, 17), ('replace', 24, 25, 21, 23), ('delete', 35, 37, 33, 33), ('delete', 63, 64, 59, 59), ('replace', 65, 66, 60, 62)]","[(('in', 'neutral'), 1), (('be', 'neutral'), 2), (('ri', 'neutral'), 1), (('ib', 'neutral'), 1), (('ge', 'german-dominant'), 1), (('en', 'german-dominant'), 1), (('ne', 'neutral'), 1), (('st', 'neutral'), 1), (('ta', 'neutral'), 1), (('ab', 'neutral'), 1)]"
 Mub Messuny is Rumeishes Redt sebraf,durch Messung ins numerische Relativ gebracht,"[('replace', 0, 2, 0, 1), ('replace', 3, 4, 2, 5), ('replace', 11, 12, 12, 13), ('insert', 14, 14, 15, 16), ('replace', 16, 17, 18, 19), ('insert', 20, 20, 22, 23), ('insert', 22, 22, 25, 26), ('delete', 24, 25, 28, 28), ('replace', 28, 29, 31, 33), ('insert', 30, 30, 34, 36), ('replace', 31, 32, 37, 38), ('replace', 36, 37, 42, 45)]","[(('du', 'neutral'), 1), (('ur', 'neutral'), 1), (('rc', 'neutral'), 1), (('ch', 'german-dominant'), 1), (('un', 'german-dominant'), 1), (('ng', 'neutral'), 1), (('ns', 'neutral'), 1), (('um', 'neutral'), 1), (('er', 'neutral'), 1), (('is', 'neutral'), 1), (('sc', 'german-dominant'), 1), (('el', 'neutral'), 1), (('la', 'neutral'), 1)]"
 Ahrarjiahing su dgidissmshiont,- Umerziehung zum Sozialismus hin,"[('insert', 0, 0, 0, 1), ('replace', 1, 2, 2, 9), ('replace', 3, 7, 10, 21), ('insert', 9, 9, 23, 30), ('delete', 12, 31, 33, 33)]","[(('me', 'neutral'), 1), (('er', 'neutral'), 1), (('rz', 'german-dominant'), 1), (('zi', 'german-dominant'), 2), (('eh', 'neutral'), 1), (('ng', 'neutral'), 1), (('zu', 'german-dominant'), 1), (('um', 'neutral'), 1), (('oz', 'german-dominant'), 1), (('ia', 'neutral'), 1), (('al', 'neutral'), 1), (('li', 'neutral'), 1), (('is', 'neutral'), 1), (('sm', 'neutral'), 1), (('mu', 'neutral'), 1), (('us', 'neutral'), 1), (('hi', 'english-dominant'), 1)]"
 teigenen bandmisht malewollelacilt t,eigenen Land nicht mehr wohl. Da sieht,"[('delete', 0, 2, 0, 0), ('replace', 10, 11, 8, 9), ('replace', 14, 15, 12, 14), ('replace', 16, 17, 15, 16), ('delete', 21, 23, 20, 20), ('insert', 24, 24, 21, 24), ('insert', 26, 26, 26, 27), ('replace', 27, 28, 28, 35), ('replace', 29, 34, 36, 37), ('delete', 35, 37, 38, 38)]","[(('ei', 'german-dominant'), 1), (('ig', 'neutral'), 1), (('an', 'neutral'), 1), (('nd', 'neutral'), 1), (('ni', 'neutral'), 1), (('ic', 'neutral'), 1), (('ch', 'german-dominant'), 1), (('ht', 'neutral'), 2), (('eh', 'neutral'), 2), (('hr', 'german-dominant'), 1), (('oh', 'neutral'), 1), (('hl', 'german-dominant'), 1), (('si', 'neutral'), 1), (('ie', 'german-dominant'), 1)]"
- i.d.R. ans mchweren Personen bestchend,- i.d.R. aus mehreren Personen bestehend,"[('replace', 10, 11, 10, 11), ('replace', 14, 15, 14, 15), ('replace', 16, 17, 16, 17), ('replace', 35, 36, 35, 36)]","[(('au', 'german-dominant'), 1), (('us', 'neutral'), 1), (('me', 'neutral'), 1), (('eh', 'neutral'), 2), (('hr', 'german-dominant'), 1), (('re', 'neutral'), 1), (('te', 'neutral'), 1)]"
-hohe Lebenserwartuing,- hohe Lebenserwartung,"[('insert', 1, 1, 1, 2), ('delete', 19, 20, 20, 20)]","[(('tu', 'neutral'), 1), (('un', 'german-dominant'), 1)]"
Mrozess der demoaratischen Altecung :,Prozess der demografischen Alterung:,"[('replace', 0, 1, 0, 1), ('replace', 16, 17, 16, 17), ('replace', 19, 20, 19, 20), ('replace', 31, 32, 31, 32), ('delete', 35, 36, 35, 35)]","[(('og', 'neutral'), 1), (('gr', 'neutral'), 1), (('af', 'neutral'), 1), (('fi', 'neutral'), 1), (('er', 'neutral'), 1), (('ru', 'german-dominant'), 1)]"
- Darstetling des Eisammenwirkens mit anderen Rodulklen,- Darstellung des Zusammenwirkens mit anderen Produkten,"[('delete', 8, 9, 8, 8), ('replace', 10, 11, 9, 11), ('replace', 18, 20, 18, 20), ('replace', 46, 47, 46, 48), ('delete', 50, 51, 51, 51), ('replace', 52, 53, 52, 53)]","[(('el', 'neutral'), 1), (('ll', 'neutral'), 1), (('lu', 'neutral'), 1), (('un', 'german-dominant'), 1), (('us', 'neutral'), 1), (('du', 'neutral'), 1), (('uk', 'german-dominant'), 1), (('kt', 'german-dominant'), 1), (('te', 'neutral'), 1)]"
zo weriger Konflitten saischen Arm and Reich tomnt -,zu weniger Konflikten zwischen Arm und Reich kommt.,"[('replace', 1, 2, 1, 2), ('replace', 5, 6, 5, 6), ('replace', 17, 18, 17, 18), ('replace', 22, 24, 22, 24), ('replace', 35, 36, 35, 36), ('replace', 45, 46, 45, 46), ('replace', 48, 49, 48, 49), ('replace', 50, 52, 50, 51)]","[(('zu', 'german-dominant'), 1), (('en', 'german-dominant'), 1), (('ni', 'neutral'), 1), (('ik', 'neutral'), 1), (('kt', 'german-dominant'), 1), (('zw', 'german-dominant'), 1), (('wi', 'neutral'), 1), (('un', 'german-dominant'), 1), (('ko', 'german-dominant'), 1), (('mm', 'neutral'), 1), (('mt', 'neutral'), 1)]"
tndabadedectedluysdneslie Muttef,in das Ende der Handlung einordnen. Die Mutter,"[('replace', 0, 1, 0, 8), ('replace', 3, 6, 10, 12), ('replace', 8, 13, 14, 19), ('replace', 16, 18, 22, 30), ('replace', 21, 23, 33, 37), ('replace', 31, 32, 45, 46)]","[(('in', 'neutral'), 1), (('da', 'neutral'), 1), (('as', 'neutral'), 1), (('nd', 'neutral'), 1), (('de', 'german-dominant'), 2), (('an', 'neutral'), 1), (('lu', 'neutral'), 1), (('un', 'german-dominant'), 1), (('ng', 'neutral'), 1), (('dn', 'neutral'), 1), (('ne', 'neutral'), 1)]"
" De thrge stelle odel plass des lard sellec entateden ham , wie as","- Die Aussage stellt dar, dass das Land selber entscheiden kann, wie es","[('insert', 0, 0, 0, 1), ('insert', 2, 2, 3, 4), ('replace', 4, 7, 6, 11), ('replace', 15, 16, 19, 20), ('delete', 17, 18, 21, 21), ('replace', 19, 21, 22, 25), ('replace', 22, 24, 26, 27), ('replace', 29, 30, 32, 33), ('replace', 32, 33, 35, 36), ('replace', 34, 35, 37, 38), ('replace', 40, 41, 43, 44), ('replace', 42, 43, 45, 46), ('replace', 47, 49, 50, 53), ('insert', 50, 50, 54, 55), ('replace', 54, 55, 59, 60), ('replace', 56, 58, 61, 63), ('replace', 64, 65, 69, 70)]","[(('ie', 'german-dominant'), 1), (('st', 'neutral'), 1), (('te', 'neutral'), 1), (('el', 'neutral'), 2), (('ll', 'neutral'), 1), (('lt', 'neutral'), 1), (('da', 'neutral'), 2), (('ar', 'neutral'), 1), (('ss', 'neutral'), 1), (('as', 'neutral'), 1), (('se', 'neutral'), 1), (('lb', 'neutral'), 1), (('en', 'german-dominant'), 2), (('nt', 'neutral'), 1), (('ts', 'neutral'), 1), (('ei', 'german-dominant'), 1), (('id', 'neutral'), 1), (('de', 'german-dominant'), 1)]"
0. ) 1950 maven o5 can. 68 Mis . Bender versedsbfarht,"b.) 1970 waren es ca. 6,8 Mio. Besucher versechsfacht","[('replace', 0, 1, 0, 1), ('delete', 2, 3, 2, 2), ('replace', 7, 8, 6, 7), ('replace', 10, 11, 9, 10), ('replace', 12, 13, 11, 12), ('replace', 16, 18, 15, 17), ('delete', 21, 22, 20, 20), ('insert', 25, 25, 23, 24), ('replace', 29, 31, 28, 29), ('replace', 35, 37, 33, 37), ('replace', 45, 46, 45, 47), ('delete', 47, 48, 48, 48), ('replace', 50, 51, 50, 51)]","[(('wa', 'neutral'), 1), (('ar', 'neutral'), 1), (('re', 'neutral'), 1), (('en', 'german-dominant'), 1), (('es', 'neutral'), 1), (('uc', 'neutral'), 1), (('ch', 'german-dominant'), 3), (('he', 'neutral'), 1), (('ec', 'english-dominant'), 1), (('hs', 'neutral'), 1), (('sf', 'neutral'), 1), (('ac', 'neutral'), 1)]"
"- Jedes Olojelet wird largestect dirch """,- Jedes Objekt wird dargestellt durch,"[('replace', 9, 11, 9, 10), ('replace', 13, 15, 12, 13), ('replace', 22, 23, 20, 21), ('replace', 30, 31, 28, 30), ('replace', 34, 35, 33, 34), ('delete', 38, 40, 37, 37)]","[(('bj', 'neutral'), 1), (('je', 'german-dominant'), 1), (('kt', 'german-dominant'), 1), (('ar', 'neutral'), 1), (('rg', 'neutral'), 1), (('lt', 'neutral'), 1), (('ur', 'neutral'), 1), (('rc', 'neutral'), 1)]"
 Adiebyin gutelcuatbate t,dieser Weg ein guter bzw erstrebenswerter,"[('delete', 0, 2, 0, 0), ('replace', 5, 7, 3, 12), ('replace', 14, 18, 19, 28), ('insert', 19, 19, 29, 31), ('replace', 20, 21, 32, 38), ('replace', 23, 25, 40, 41)]","[(('di', 'neutral'), 1), (('ie', 'german-dominant'), 1), (('er', 'neutral'), 2), (('gu', 'neutral'), 1), (('ut', 'neutral'), 1), (('te', 'neutral'), 1), (('zw', 'german-dominant'), 1)]"
a Hild der lipniblant int der Besrilt denal,"bild oder Signifikant ist der Begriff, dem","[('replace', 0, 3, 0, 1), ('insert', 7, 7, 5, 6), ('replace', 11, 12, 10, 11), ('replace', 13, 14, 12, 13), ('replace', 16, 18, 15, 18), ('replace', 23, 24, 23, 24), ('replace', 32, 33, 32, 33), ('replace', 35, 37, 35, 38), ('replace', 40, 43, 41, 42)]","[(('bi', 'neutral'), 1), (('il', 'neutral'), 1), (('ld', 'neutral'), 1), (('de', 'german-dominant'), 2), (('ig', 'neutral'), 1), (('gn', 'neutral'), 1), (('ni', 'neutral'), 1), (('fi', 'neutral'), 1), (('ik', 'neutral'), 1), (('ka', 'german-dominant'), 1), (('is', 'neutral'), 1), (('st', 'neutral'), 1), (('eg', 'neutral'), 1), (('gr', 'neutral'), 1), (('if', 'neutral'), 1), (('ff', 'neutral'), 1), (('em', 'neutral'), 1)]"
lineare Kassiflation,Lineare Klassifikation,"[('replace', 0, 1, 0, 1), ('insert', 9, 9, 9, 10), ('replace', 14, 15, 15, 17)]","[(('if', 'neutral'), 1), (('fi', 'neutral'), 1)]"
-hampt ua ein weibliches . Tior mit activer Wall des Waibchens,- Kampf um ein weibliches Tier mit aktiver Wahl des Weibchens,"[('replace', 1, 2, 1, 3), ('replace', 5, 6, 6, 7), ('replace', 8, 9, 9, 10), ('delete', 25, 27, 26, 26), ('replace', 29, 30, 28, 29), ('replace', 37, 38, 36, 37), ('replace', 46, 47, 45, 46), ('replace', 54, 55, 53, 54)]","[(('mp', 'neutral'), 1), (('pf', 'german-dominant'), 1), (('um', 'neutral'), 1), (('er', 'neutral'), 1), (('kt', 'german-dominant'), 1), (('ti', 'neutral'), 1), (('hl', 'german-dominant'), 1), (('ei', 'german-dominant'), 1), (('ib', 'neutral'), 1)]"
I HHANatSskengt LHLLHLDDDDDTTTD,- Nationsbildung,"[('replace', 0, 1, 0, 1), ('delete', 2, 5, 2, 2), ('replace', 8, 9, 5, 8), ('replace', 10, 12, 9, 14), ('delete', 14, 31, 16, 16)]","[(('at', 'neutral'), 1), (('ti', 'neutral'), 1), (('ns', 'neutral'), 1), (('sb', 'neutral'), 1), (('bi', 'neutral'), 1), (('il', 'neutral'), 1), (('ld', 'neutral'), 1), (('un', 'german-dominant'), 1), (('ng', 'neutral'), 1)]"
 tew Sextschiqil nh,Den Text schicke ich nach,"[('insert', 0, 0, 0, 3), ('replace', 1, 6, 4, 5), ('insert', 9, 9, 8, 9), ('replace', 13, 14, 13, 17), ('replace', 15, 16, 18, 20), ('insert', 18, 18, 22, 24)]","[(('en', 'german-dominant'), 1), (('ex', 'neutral'), 1), (('ic', 'neutral'), 2), (('ck', 'neutral'), 1), (('ke', 'neutral'), 1)]"
Prabbika bieten Eimblidke in die Prasois .,Praktika bieten Einblicke in die Praxis.,"[('replace', 3, 5, 3, 5), ('replace', 18, 19, 18, 19), ('replace', 22, 23, 22, 23), ('replace', 36, 38, 36, 37), ('delete', 40, 41, 39, 39)]","[(('ak', 'neutral'), 1), (('kt', 'german-dominant'), 1), (('ti', 'neutral'), 1), (('in', 'neutral'), 1), (('nb', 'neutral'), 1), (('ic', 'neutral'), 1), (('ck', 'neutral'), 1), (('ax', 'neutral'), 1), (('xi', 'neutral'), 1), (('is', 'neutral'), 1)]"
En Traum awoht,Ein Traum erwacht.,"[('insert', 1, 1, 1, 2), ('insert', 9, 9, 10, 13), ('replace', 10, 12, 14, 15), ('insert', 14, 14, 17, 18)]","[(('er', 'neutral'), 1), (('rw', 'neutral'), 1), (('ac', 'neutral'), 1)]"
"Reise nach Frankfart , Regiering eisetten ..","- Reise nach Frankfurt, Regierung einsetzen","[('insert', 0, 0, 0, 2), ('replace', 17, 18, 19, 20), ('delete', 20, 21, 22, 22), ('replace', 29, 30, 30, 31), ('insert', 35, 35, 36, 37), ('replace', 38, 39, 40, 41), ('delete', 41, 44, 43, 43)]","[(('nk', 'german-dominant'), 1), (('kf', 'neutral'), 1), (('ur', 'neutral'), 1), (('rt', 'neutral'), 1), (('er', 'neutral'), 1), (('ru', 'german-dominant'), 1), (('ei', 'german-dominant'), 1), (('se', 'neutral'), 1), (('et', 'neutral'), 1), (('ze', 'german-dominant'), 1), (('en', 'german-dominant'), 1)]"
